"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.7",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.6",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.1",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total",":",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total",":",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total",":",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total",":",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total",":",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total",":",""
"Underweight","Belgium","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","4.8",""
"Underweight","Belgium","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.7",""
"Underweight","Belgium","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.3",""
"Underweight","Belgium","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.3",""
"Underweight","Belgium","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","Belgium","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","5.5",""
"Underweight","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.2",""
"Underweight","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.3",""
"Underweight","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.4",""
"Underweight","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.3",""
"Underweight","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.9",""
"Underweight","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.9",""
"Underweight","Bulgaria","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.0",""
"Underweight","Bulgaria","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.4",""
"Underweight","Bulgaria","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.5",""
"Underweight","Bulgaria","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.4",""
"Underweight","Bulgaria","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","1.0",""
"Underweight","Bulgaria","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","3.9",""
"Underweight","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.6",""
"Underweight","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.9",""
"Underweight","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.6",""
"Underweight","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.3",""
"Underweight","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.1",""
"Underweight","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.5",""
"Underweight","Czechia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.8",""
"Underweight","Czechia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.5",""
"Underweight","Czechia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.5",""
"Underweight","Czechia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","1.3",""
"Underweight","Czechia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Czechia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.0",""
"Underweight","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.8",""
"Underweight","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.4",""
"Underweight","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.4",""
"Underweight","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","1.9",""
"Underweight","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.1",""
"Underweight","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.7",""
"Underweight","Denmark","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.0",""
"Underweight","Denmark","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","7.5",""
"Underweight","Denmark","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.1",""
"Underweight","Denmark","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.0",""
"Underweight","Denmark","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Denmark","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.7",""
"Underweight","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.7",""
"Underweight","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.4",""
"Underweight","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.9",""
"Underweight","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.6",""
"Underweight","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.4",""
"Underweight","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.0",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","4.7",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.4",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.9",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.4",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","4.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.4",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.3",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.4",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.5",""
"Underweight","Estonia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.6",""
"Underweight","Estonia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.4",""
"Underweight","Estonia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.0",""
"Underweight","Estonia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.5",""
"Underweight","Estonia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.6",""
"Underweight","Estonia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","3.7",""
"Underweight","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.8",""
"Underweight","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.9",""
"Underweight","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.5",""
"Underweight","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.7",""
"Underweight","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.4",""
"Underweight","Ireland","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","0.9",""
"Underweight","Ireland","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.7",""
"Underweight","Ireland","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","2.2",""
"Underweight","Ireland","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.1",""
"Underweight","Ireland","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.8",""
"Underweight","Ireland","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.7",""
"Underweight","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","10.8",""
"Underweight","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","31.1",""
"Underweight","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","6.6",""
"Underweight","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","29.1",""
"Underweight","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","5.7",""
"Underweight","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","25.4",""
"Underweight","Greece","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.3",""
"Underweight","Greece","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","2.5",""
"Underweight","Greece","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.6",""
"Underweight","Greece","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.3",""
"Underweight","Greece","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","Greece","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.3",""
"Underweight","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.2",""
"Underweight","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","1.5",""
"Underweight","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.2",""
"Underweight","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.1",""
"Underweight","Greece","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.1",""
"Underweight","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.4",""
"Underweight","Spain","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.7",""
"Underweight","Spain","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.1",""
"Underweight","Spain","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Underweight","Spain","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","5.7",""
"Underweight","Spain","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.5",""
"Underweight","Spain","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.3",""
"Underweight","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.8",""
"Underweight","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","2.8",""
"Underweight","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.8",""
"Underweight","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.3",""
"Underweight","Spain","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.6",""
"Underweight","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.3",""
"Underweight","France","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.1",""
"Underweight","France","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","6.3",""
"Underweight","France","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.3",""
"Underweight","France","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.8",""
"Underweight","France","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","1.4",""
"Underweight","France","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","6.5",""
"Underweight","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.8",""
"Underweight","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.2",""
"Underweight","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","2.2",""
"Underweight","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","6.7",""
"Underweight","France","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","1.4",""
"Underweight","France","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","6.0",""
"Underweight","Croatia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.8",""
"Underweight","Croatia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.4",""
"Underweight","Croatia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.5",""
"Underweight","Croatia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.7",""
"Underweight","Croatia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Croatia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.7",""
"Underweight","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.0",""
"Underweight","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","2.7",""
"Underweight","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.2",""
"Underweight","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.2",""
"Underweight","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.4",""
"Underweight","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.6",""
"Underweight","Italy","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.8",""
"Underweight","Italy","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.7",""
"Underweight","Italy","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.9",""
"Underweight","Italy","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","6.7",""
"Underweight","Italy","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","Italy","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","7.3",""
"Underweight","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.8",""
"Underweight","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.8",""
"Underweight","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Underweight","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","6.6",""
"Underweight","Italy","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.9",""
"Underweight","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.3",""
"Underweight","Cyprus","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.9",""
"Underweight","Cyprus","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.9",""
"Underweight","Cyprus","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.9",""
"Underweight","Cyprus","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","6.4",""
"Underweight","Cyprus","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Cyprus","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","10.5",""
"Underweight","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.7",""
"Underweight","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.5",""
"Underweight","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.1",""
"Underweight","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","6.8",""
"Underweight","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","7.3",""
"Underweight","Latvia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.1",""
"Underweight","Latvia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.6",""
"Underweight","Latvia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.0",""
"Underweight","Latvia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.4",""
"Underweight","Latvia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.5",""
"Underweight","Latvia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.8",""
"Underweight","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","4.9",""
"Underweight","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","5.9",""
"Underweight","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.7",""
"Underweight","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.1",""
"Underweight","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.3",""
"Underweight","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.1",""
"Underweight","Lithuania","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.9",""
"Underweight","Lithuania","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.8",""
"Underweight","Lithuania","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.8",""
"Underweight","Lithuania","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.8",""
"Underweight","Lithuania","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0",""
"Underweight","Lithuania","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","3.6",""
"Underweight","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","6.2",""
"Underweight","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.8",""
"Underweight","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.6",""
"Underweight","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.2",""
"Underweight","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","1.0",""
"Underweight","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","2.6",""
"Underweight","Luxembourg","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.8",""
"Underweight","Luxembourg","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.0",""
"Underweight","Luxembourg","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.4",""
"Underweight","Luxembourg","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.4",""
"Underweight","Luxembourg","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.8",""
"Underweight","Luxembourg","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","6.3",""
"Underweight","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.2",""
"Underweight","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.3",""
"Underweight","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","2.5",""
"Underweight","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","5.3",""
"Underweight","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.5",""
"Underweight","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","5.4",""
"Underweight","Hungary","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.4",""
"Underweight","Hungary","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","6.2",""
"Underweight","Hungary","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.4",""
"Underweight","Hungary","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.9",""
"Underweight","Hungary","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","Hungary","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.5",""
"Underweight","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.1",""
"Underweight","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","6.8",""
"Underweight","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","0.6",""
"Underweight","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.1",""
"Underweight","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.5",""
"Underweight","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.1",""
"Underweight","Malta","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.6",""
"Underweight","Malta","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","2.8",""
"Underweight","Malta","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Underweight","Malta","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","7.0",""
"Underweight","Malta","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.9",""
"Underweight","Malta","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","2.4",""
"Underweight","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","1.7",""
"Underweight","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","1.6",""
"Underweight","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.2",""
"Underweight","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","4.5",""
"Underweight","Malta","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.5",""
"Underweight","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","3.2",""
"Underweight","Netherlands","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","4.2",""
"Underweight","Netherlands","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","3.1",""
"Underweight","Netherlands","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.3",""
"Underweight","Netherlands","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","2.8",""
"Underweight","Netherlands","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.6",""
"Underweight","Netherlands","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","1.8",""
"Underweight","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","5.7",""
"Underweight","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.2",""
"Underweight","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.7",""
