"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","49.6",""
"0 portions","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","46.8",""
"0 portions","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","41.3",""
"0 portions","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","33.8",""
"0 portions","Czechia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","66.3",""
"0 portions","Czechia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","50.9",""
"0 portions","Czechia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","56.3",""
"0 portions","Czechia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","37.9",""
"0 portions","Czechia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","48.3",""
"0 portions","Czechia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","24.0",""
"0 portions","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","61.0",""
"0 portions","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","49.6",""
"0 portions","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","58.6",""
"0 portions","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","40.3",""
"0 portions","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","48.1",""
"0 portions","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","32.0",""
"0 portions","Denmark","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","54.3",""
"0 portions","Denmark","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","38.1",""
"0 portions","Denmark","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","52.3",""
"0 portions","Denmark","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","34.2",""
"0 portions","Denmark","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","39.7",""
"0 portions","Denmark","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","17.2",""
"0 portions","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","56.6",""
"0 portions","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","42.0",""
"0 portions","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","52.4",""
"0 portions","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","36.5",""
"0 portions","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","38.5",""
"0 portions","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","20.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","54.3",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","37.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","57.3",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","39.6",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","50.9",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","29.5",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","46.7",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","25.8",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","45.9",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","25.3",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","36.1",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","15.7",""
"0 portions","Estonia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","44.3",""
"0 portions","Estonia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","38.8",""
"0 portions","Estonia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.0",""
"0 portions","Estonia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","30.5",""
"0 portions","Estonia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","36.3",""
"0 portions","Estonia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","22.1",""
"0 portions","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","54.7",""
"0 portions","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","42.2",""
"0 portions","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","47.8",""
"0 portions","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","33.9",""
"0 portions","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","40.9",""
"0 portions","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","27.5",""
"0 portions","Ireland","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","45.0",""
"0 portions","Ireland","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","37.6",""
"0 portions","Ireland","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","38.1",""
"0 portions","Ireland","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","31.1",""
"0 portions","Ireland","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","32.3",""
"0 portions","Ireland","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","22.1",""
"0 portions","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","25.4",""
"0 portions","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","24.5",""
"0 portions","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","23.3",""
"0 portions","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","18.2",""
"0 portions","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","16.9",""
"0 portions","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","10.0",""
"0 portions","Greece","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","28.8",""
"0 portions","Greece","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","21.2",""
"0 portions","Greece","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","41.2",""
"0 portions","Greece","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","30.7",""
"0 portions","Greece","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","35.5",""
"0 portions","Greece","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","27.8",""
"0 portions","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","44.0",""
"0 portions","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","35.1",""
"0 portions","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","42.2",""
"0 portions","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","31.3",""
"0 portions","Greece","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","24.5",""
"0 portions","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","17.1",""
"0 portions","Spain","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","31.0",""
"0 portions","Spain","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","21.5",""
"0 portions","Spain","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","30.9",""
"0 portions","Spain","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","21.4",""
"0 portions","Spain","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","26.1",""
"0 portions","Spain","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","18.4",""
"0 portions","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","30.6",""
"0 portions","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","20.9",""
"0 portions","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","26.9",""
"0 portions","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","19.9",""
"0 portions","Spain","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","23.6",""
"0 portions","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","16.5",""
"0 portions","France","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","39.5",""
"0 portions","France","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","28.0",""
"0 portions","France","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.6",""
"0 portions","France","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","32.9",""
"0 portions","France","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","38.0",""
"0 portions","France","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","23.4",""
"0 portions","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","30.9",""
"0 portions","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","20.6",""
"0 portions","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","31.5",""
"0 portions","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","23.9",""
"0 portions","France","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","30.0",""
"0 portions","France","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","17.3",""
"0 portions","Croatia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","38.8",""
"0 portions","Croatia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","30.7",""
"0 portions","Croatia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","31.4",""
"0 portions","Croatia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","24.1",""
"0 portions","Croatia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","23.8",""
"0 portions","Croatia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","15.1",""
"0 portions","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","39.6",""
"0 portions","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","26.3",""
"0 portions","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","31.6",""
"0 portions","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","27.5",""
"0 portions","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","27.4",""
"0 portions","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","21.3",""
"0 portions","Italy","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","27.1",""
"0 portions","Italy","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","20.1",""
"0 portions","Italy","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","27.2",""
"0 portions","Italy","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","21.7",""
"0 portions","Italy","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","19.9",""
"0 portions","Italy","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","16.0",""
"0 portions","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","27.8",""
"0 portions","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","22.0",""
"0 portions","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","27.7",""
"0 portions","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","21.2",""
"0 portions","Italy","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","23.2",""
"0 portions","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","16.8",""
"0 portions","Cyprus","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","35.4",""
"0 portions","Cyprus","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","30.0",""
"0 portions","Cyprus","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","39.3",""
"0 portions","Cyprus","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","32.3",""
"0 portions","Cyprus","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","34.6",""
"0 portions","Cyprus","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","23.9",""
"0 portions","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","37.6",""
"0 portions","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","32.7",""
"0 portions","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","40.0",""
"0 portions","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","32.8",""
"0 portions","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","31.8",""
"0 portions","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","25.4",""
"0 portions","Latvia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","63.4",""
"0 portions","Latvia","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","53.7",""
"0 portions","Latvia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","53.8",""
"0 portions","Latvia","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","43.6",""
"0 portions","Latvia","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","49.3",""
"0 portions","Latvia","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","37.9",""
"0 portions","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","72.1",""
"0 portions","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","61.9",""
"0 portions","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","61.2",""
"0 portions","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","49.6",""
"0 portions","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","49.6",""
"0 portions","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","40.8",""
"0 portions","Lithuania","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","51.5",""
"0 portions","Lithuania","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","49.8",""
"0 portions","Lithuania","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","47.7",""
"0 portions","Lithuania","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","37.7",""
"0 portions","Lithuania","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","38.6",""
"0 portions","Lithuania","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","30.2",""
"0 portions","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","53.0",""
"0 portions","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","46.9",""
"0 portions","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","50.6",""
"0 portions","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","38.7",""
"0 portions","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","40.0",""
"0 portions","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","28.3",""
"0 portions","Luxembourg","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","42.5",""
"0 portions","Luxembourg","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","26.7",""
"0 portions","Luxembourg","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","46.0",""
"0 portions","Luxembourg","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","30.6",""
"0 portions","Luxembourg","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","42.1",""
"0 portions","Luxembourg","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","26.3",""
"0 portions","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","62.0",""
"0 portions","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","44.4",""
"0 portions","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","61.5",""
"0 portions","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","46.9",""
"0 portions","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","50.6",""
"0 portions","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","32.4",""
"0 portions","Hungary","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","43.9",""
"0 portions","Hungary","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","35.6",""
"0 portions","Hungary","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","39.6",""
"0 portions","Hungary","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","27.4",""
"0 portions","Hungary","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","30.0",""
"0 portions","Hungary","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","22.7",""
"0 portions","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","45.3",""
"0 portions","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","34.5",""
"0 portions","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","41.3",""
"0 portions","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","31.1",""
"0 portions","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","43.3",""
"0 portions","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","27.1",""
"0 portions","Malta","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","42.4",""
"0 portions","Malta","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","32.1",""
"0 portions","Malta","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","39.9",""
"0 portions","Malta","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","34.0",""
"0 portions","Malta","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","32.4",""
"0 portions","Malta","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","25.3",""
"0 portions","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","44.9",""
"0 portions","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","32.1",""
"0 portions","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.1",""
"0 portions","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","34.7",""
"0 portions","Malta","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","35.8",""
"0 portions","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","24.1",""
"0 portions","Netherlands","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","52.0",""
"0 portions","Netherlands","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","39.8",""
"0 portions","Netherlands","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","54.5",""
"0 portions","Netherlands","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","42.7",""
"0 portions","Netherlands","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","49.3",""
"0 portions","Netherlands","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","34.4",""
"0 portions","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","47.6",""
"0 portions","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","39.2",""
"0 portions","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","52.1",""
